Date,Borough,AllAgeTotalCOunt,AllAgeTotalRatio,Age0to4Count,Age0to4Ratio,Age5to17Count,Age5to17Ratio,Age18to64Count,Age18to64Ratio,Age65plusCount,Age65plusRatio
1/1/06,Bronx,77,0.043429216,47,0.321917808,12,0.067039106,17,0.014261745,1,0.003921569
1/1/06,Brooklyn,54,0.045762712,35,0.376344086,9,0.073170732,9,0.010663507,1,0.008333333
1/1/06,Manhattan,41,0.037238874,20,0.357142857,3,0.039473684,16,0.019583843,2,0.013157895
1/1/06,Queens,69,0.062330623,47,0.618421053,8,0.096385542,10,0.012787724,4,0.024096386
1/1/06,Staten Island,5,0.013888889,3,0.076923077,0,0,2,0.008510638,0,0
1/1/06,Unknown,8,0.015065913,4,0.111111111,0,0,3,0.006993007,1,0.034482759
1/2/06,Bronx,88,0.042989741,48,0.375,9,0.052325581,28,0.01907357,3,0.010752688
1/2/06,Brooklyn,66,0.042416452,39,0.333333333,11,0.061111111,14,0.012556054,2,0.013888889
1/2/06,Manhattan,59,0.042022792,34,0.435897436,10,0.083333333,15,0.014866204,0,0
1/2/06,Queens,67,0.053858521,42,0.461538462,13,0.116071429,10,0.0110011,2,0.015151515
1/2/06,Staten Island,8,0.018604651,7,0.159090909,0,0,1,0.003521127,0,0
1/2/06,Unknown,9,0.025936599,4,0.2,2,0.071428571,3,0.010989011,0,0
1/3/06,Bronx,45,0.019832525,17,0.149122807,4,0.015037594,24,0.015247776,0,0
1/3/06,Brooklyn,44,0.027465668,21,0.214285714,5,0.024271845,17,0.014517506,1,0.007874016
1/3/06,Manhattan,29,0.021577381,8,0.186046512,2,0.015873016,19,0.019269777,0,0
1/3/06,Queens,46,0.034328358,27,0.341772152,7,0.053435115,12,0.012644889,0,0
1/3/06,Staten Island,4,0.008474576,3,0.085714286,0,0,1,0.003278689,0,0
1/3/06,Unknown,11,0.031073446,3,0.142857143,1,0.04,6,0.021428571,1,0.035714286
1/4/06,Bronx,53,0.023245614,24,0.193548387,8,0.031128405,21,0.01366298,0,0
1/4/06,Brooklyn,65,0.039513678,28,0.252252252,18,0.076923077,18,0.015584416,1,0.006896552
1/4/06,Manhattan,26,0.01760325,9,0.14516129,3,0.021428571,12,0.011406844,2,0.00896861
1/4/06,Queens,52,0.036086051,25,0.284090909,8,0.049689441,15,0.01529052,4,0.018957346
1/4/06,Staten Island,7,0.016548463,2,0.060606061,1,0.019607843,4,0.014492754,0,0
1/4/06,Unknown,5,0.013333333,4,0.210526316,0,0,1,0.003367003,0,0
1/5/06,Bronx,68,0.029681362,30,0.285714286,8,0.03125,28,0.017823043,2,0.005571031
1/5/06,Brooklyn,54,0.033983638,22,0.268292683,10,0.048309179,19,0.016608392,3,0.019230769
1/5/06,Manhattan,49,0.036649215,19,0.413043478,8,0.054421769,21,0.021989529,1,0.005291005
1/5/06,Queens,51,0.038871951,33,0.492537313,7,0.047619048,10,0.011098779,1,0.005076142
1/5/06,Staten Island,11,0.025522042,6,0.206896552,1,0.017857143,4,0.014084507,0,0
1/5/06,Unknown,10,0.028490029,5,0.333333333,0,0,5,0.017857143,0,0
1/6/06,Bronx,50,0.023386342,21,0.235955056,9,0.037190083,16,0.010989011,4,0.011396011
1/6/06,Brooklyn,44,0.029830509,13,0.126213592,7,0.033492823,22,0.021484375,2,0.014388489
1/6/06,Manhattan,32,0.023791822,10,0.192307692,7,0.055555556,11,0.011591149,4,0.018348624
1/6/06,Queens,52,0.040030793,24,0.315789474,11,0.078014184,16,0.017582418,1,0.005813954
1/6/06,Staten Island,5,0.012224939,2,0.083333333,2,0.033898305,1,0.00390625,0,0
1/6/06,Unknown,4,0.010781671,1,0.0625,1,0.02631579,2,0.007092199,0,0
1/7/06,Bronx,65,0.035040431,29,0.263636364,15,0.103448276,19,0.014328808,2,0.00729927
1/7/06,Brooklyn,49,0.037149356,21,0.230769231,10,0.067114094,14,0.01487779,4,0.028985507
1/7/06,Manhattan,25,0.020032051,5,0.078125,9,0.080357143,10,0.011520737,1,0.004901961
1/7/06,Queens,50,0.043668122,28,0.388888889,10,0.088495575,12,0.015056462,0,0
1/7/06,Staten Island,5,0.014326648,3,0.115384615,2,0.041666667,0,0,0,0
1/7/06,Unknown,5,0.015015015,2,0.086956522,1,0.034482759,2,0.008163265,0,0
1/8/06,Bronx,52,0.029147982,20,0.153846154,10,0.05,22,0.018062397,0,0
1/8/06,Brooklyn,53,0.042604502,19,0.191919192,12,0.071856287,22,0.025171625,0,0
1/8/06,Manhattan,37,0.034164358,13,0.270833333,10,0.12195122,12,0.015056462,2,0.012820513
1/8/06,Queens,70,0.064635272,40,0.588235294,15,0.157894737,13,0.017082786,2,0.012578616
1/8/06,Staten Island,9,0.023684211,6,0.193548387,2,0.037037037,1,0.004329004,0,0
1/8/06,Unknown,5,0.015873016,0,0,0,0,3,0.012552301,2,0.071428571
1/9/06,Bronx,75,0.029679462,28,0.239316239,20,0.066225166,22,0.012658228,5,0.013513514
1/9/06,Brooklyn,51,0.028603477,18,0.160714286,14,0.063636364,19,0.015127389,0,0
1/9/06,Manhattan,36,0.024725275,9,0.15,9,0.052941177,16,0.015873016,2,0.009174312
1/9/06,Queens,55,0.040116703,23,0.315068493,16,0.101265823,15,0.015447992,1,0.00591716
1/9/06,Staten Island,16,0.034261242,7,0.205882353,4,0.0625,5,0.016556291,0,0
1/9/06,Unknown,5,0.013550136,3,0.136363636,0,0,2,0.007326007,0,0
1/10/06,Bronx,48,0.020743302,18,0.157894737,13,0.046931408,15,0.009428033,2,0.006024096
1/10/06,Brooklyn,46,0.02853598,16,0.166666667,13,0.053497942,16,0.014184397,1,0.006896552
1/10/06,Manhattan,37,0.028115502,9,0.195652174,8,0.056338028,18,0.019672131,2,0.009389671
1/10/06,Queens,57,0.042222222,27,0.36,10,0.057803468,19,0.020562771,1,0.005617978
1/10/06,Staten Island,8,0.018648019,5,0.166666667,2,0.028985507,0,0,1,0.022222222
1/10/06,Unknown,8,0.023054755,3,0.272727273,0,0,5,0.018050542,0,0
1/11/06,Bronx,60,0.026595745,25,0.235849057,17,0.059649123,16,0.010396361,2,0.006134969
1/11/06,Brooklyn,33,0.02133161,13,0.203125,8,0.036363636,11,0.009892086,1,0.006622517
1/11/06,Manhattan,34,0.025055269,8,0.173913044,10,0.058823529,15,0.015479876,1,0.005813954
1/11/06,Queens,64,0.047796863,33,0.492537313,18,0.119205298,11,0.011840689,2,0.010416667
1/11/06,Staten Island,7,0.017811705,3,0.088235294,2,0.035087719,1,0.004098361,1,0.017241379
1/11/06,Unknown,3,0.009036145,1,0.0625,0,0,2,0.007462687,0,0
1/12/06,Bronx,69,0.030612245,26,0.236363636,21,0.075,20,0.012845215,2,0.006514658
1/12/06,Brooklyn,61,0.040290621,24,0.296296296,24,0.112149533,12,0.011152416,1,0.006993007
1/12/06,Manhattan,38,0.030015798,13,0.245283019,8,0.051948052,15,0.017241379,2,0.010582011
1/12/06,Queens,53,0.041373927,31,0.462686567,11,0.078571429,10,0.011074197,1,0.005847953
1/12/06,Staten Island,4,0.009756098,3,0.078947368,1,0.016666667,0,0,0,0
1/12/06,Unknown,4,0.011396011,3,0.5,0,0,1,0.003597122,0,0
1/13/06,Bronx,54,0.026213592,18,0.156521739,12,0.052631579,23,0.016265912,1,0.00330033
1/13/06,Brooklyn,31,0.02014295,11,0.146666667,7,0.031818182,13,0.011839709,0,0
1/13/06,Manhattan,35,0.02649508,6,0.130434783,7,0.05,19,0.020518359,3,0.014354067
1/13/06,Queens,52,0.038748137,30,0.361445783,12,0.083916084,8,0.008988764,2,0.008849558
1/13/06,Staten Island,5,0.012787724,1,0.032258065,1,0.019607843,3,0.011320755,0,0
1/13/06,Unknown,3,0.00795756,1,0.071428571,0,0,2,0.006622517,0,0
1/14/06,Bronx,52,0.028092923,25,0.263157895,15,0.078534031,11,0.008403361,1,0.00390625
1/14/06,Brooklyn,55,0.040145985,26,0.23853211,12,0.077419355,16,0.016393443,1,0.007692308
1/14/06,Manhattan,38,0.032478633,11,0.180327869,10,0.119047619,16,0.018161181,1,0.006944444
1/14/06,Queens,33,0.027684564,18,0.193548387,9,0.073770492,6,0.007281553,0,0
1/14/06,Staten Island,3,0.008426966,0,0,0,0,2,0.008130081,0,0
