"uhfcode","uhf","sex","agegroup","Year1990","Year1991","Year1992","Year1993","Year1994","Year1995","Year1996","Year1997","Year1998","Year1999","Year2000"
101,"101 Kingsbridge","Male","Less than 1",557,558,559,560,561,562,562,563,564,565,566
101,"101 Kingsbridge","Male","1-4 yr",2200,2183,2166,2149,2132,2115,2099,2082,2065,2048,2031
101,"101 Kingsbridge","Male","5-9 yr",2311,2349,2388,2426,2464,2503,2541,2579,2617,2656,2694
101,"101 Kingsbridge","Male","10-11 yr",946,960,973,987,1000,1014,1028,1041,1055,1068,1082
101,"101 Kingsbridge","Male","12-14 yr",1491,1485,1478,1472,1465,1459,1453,1446,1440,1433,1427
101,"101 Kingsbridge","Male","15-17 yr",1327,1346,1364,1383,1401,1420,1439,1457,1476,1494,1513
101,"101 Kingsbridge","Male","18-19 yr",1173,1172,1171,1170,1169,1168,1167,1166,1165,1164,1163
101,"101 Kingsbridge","Male","20-24 yr",3121,3069,3016,2964,2912,2859,2807,2755,2703,2650,2598
101,"101 Kingsbridge","Male","25-29 yr",3360,3324,3289,3253,3218,3182,3146,3111,3075,3040,3004
101,"101 Kingsbridge","Male","30-34 yr",3326,3319,3311,3304,3296,3289,3282,3274,3267,3259,3252
101,"101 Kingsbridge","Male","35-39 yr",3169,3152,3135,3118,3101,3083,3066,3049,3032,3015,2998
101,"101 Kingsbridge","Male","40-44 yr",2693,2699,2706,2712,2718,2725,2731,2737,2743,2750,2756
101,"101 Kingsbridge","Male","45-49 yr",2486,2509,2533,2556,2580,2603,2626,2650,2673,2697,2720
101,"101 Kingsbridge","Male","50-54 yr",2149,2192,2235,2279,2322,2365,2408,2451,2495,2538,2581
101,"101 Kingsbridge","Male","55-59 yr",1636,1664,1691,1719,1747,1775,1802,1830,1858,1885,1913
101,"101 Kingsbridge","Male","60-64 yr",1931,1904,1878,1851,1825,1798,1771,1745,1718,1692,1665
101,"101 Kingsbridge","Male","65-69 yr",2222,2144,2065,1987,1909,1830,1752,1674,1596,1517,1439
101,"101 Kingsbridge","Male","70-74 yr",1580,1563,1547,1530,1513,1496,1480,1463,1446,1430,1413
101,"101 Kingsbridge","Male","75-79 yr",1548,1531,1513,1496,1479,1461,1444,1427,1410,1392,1375
101,"101 Kingsbridge","Male","80-84 yr",1019,1006,993,979,966,953,940,927,913,900,887
101,"101 Kingsbridge","Male","85+ yr",830,842,855,867,880,892,904,917,929,942,954
101,"101 Kingsbridge","Female","Less than 1",485,488,491,495,498,501,504,507,511,514,517
101,"101 Kingsbridge","Female","1-4 yr",1826,1848,1870,1891,1913,1935,1957,1979,2000,2022,2044
