boro,sex,race,agegrp,disease,yr,count,rate
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2000,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2001,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2002,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2003,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2004,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2005,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2006,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2007,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2008,0,0
Bronx,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2009,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2000,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2001,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2002,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2003,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2004,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2005,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2006,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2007,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2008,0,0
Brooklyn,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2009,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2000,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2001,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2002,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2003,1,3.6
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2004,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2005,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2006,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2007,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2008,0,0
Manhattan,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2009,0,0
Queens,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2000,0,0
Queens,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2001,0,0
Queens,Male,White non-Hispanic,0 - 9  yrs,Chlamydia,2002,0,0
