Indicator,Year,WHO region,Country,Causes,Display Value,Numeric
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Afghanistan,All Causes,"86,566",86565.53906
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Afghanistan,Communicable & other Group I,"37,561",37560.76172
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Afghanistan,Noncommunicable diseases,"37,894",37893.53906
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,Afghanistan,Injuries,"11,111",11111.24023
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Afghanistan,All Causes,"68,970",68969.61719
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Afghanistan,Communicable & other Group I,"23,259",23259.49023
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Afghanistan,Noncommunicable diseases,"35,454",35453.80078
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,Afghanistan,Injuries,"10,256",10256.33008
"Age-standardized DALYs (per 100,000)",2000,Africa,Angola,All Causes,"115,496",115495.6016
"Age-standardized DALYs (per 100,000)",2000,Africa,Angola,Communicable & other Group I,"76,145",76144.75781
"Age-standardized DALYs (per 100,000)",2000,Africa,Angola,Noncommunicable diseases,"30,594",30593.76953
"Age-standardized DALYs (per 100,000)",2000,Africa,Angola,Injuries,"8,757",8757.11719
"Age-standardized DALYs (per 100,000)",2012,Africa,Angola,All Causes,"93,709",93709.36719
"Age-standardized DALYs (per 100,000)",2012,Africa,Angola,Communicable & other Group I,"52,615",52614.98828
"Age-standardized DALYs (per 100,000)",2012,Africa,Angola,Noncommunicable diseases,"32,236",32236.11914
"Age-standardized DALYs (per 100,000)",2012,Africa,Angola,Injuries,"8,858",8858.25586
"Age-standardized DALYs (per 100,000)",2000,Europe,Albania,All Causes,"36,919",36919.01172
"Age-standardized DALYs (per 100,000)",2000,Europe,Albania,Communicable & other Group I,"5,068",5067.86816
"Age-standardized DALYs (per 100,000)",2000,Europe,Albania,Noncommunicable diseases,"27,014",27014.25
"Age-standardized DALYs (per 100,000)",2000,Europe,Albania,Injuries,"4,837",4836.89014
"Age-standardized DALYs (per 100,000)",2012,Europe,Albania,All Causes,"29,903",29902.86914
"Age-standardized DALYs (per 100,000)",2012,Europe,Albania,Communicable & other Group I,"3,297",3296.95605
"Age-standardized DALYs (per 100,000)",2012,Europe,Albania,Noncommunicable diseases,"23,098",23097.84961
"Age-standardized DALYs (per 100,000)",2012,Europe,Albania,Injuries,"3,508",3508.06592
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,United Arab Emirates,All Causes,"29,298",29298.23047
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,United Arab Emirates,Communicable & other Group I,"2,985",2985.30811
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,United Arab Emirates,Noncommunicable diseases,"23,385",23384.50977
"Age-standardized DALYs (per 100,000)",2000,Eastern Mediterranean,United Arab Emirates,Injuries,"2,928",2928.41309
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,United Arab Emirates,All Causes,"25,546",25546.00977
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,United Arab Emirates,Communicable & other Group I,"2,588",2588.20605
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,United Arab Emirates,Noncommunicable diseases,"20,714",20714.08008
"Age-standardized DALYs (per 100,000)",2012,Eastern Mediterranean,United Arab Emirates,Injuries,"2,244",2243.72095
"Age-standardized DALYs (per 100,000)",2000,Americas,Argentina,All Causes,"29,479",29479.24023
"Age-standardized DALYs (per 100,000)",2000,Americas,Argentina,Communicable & other Group I,"4,348",4348.22021
"Age-standardized DALYs (per 100,000)",2000,Americas,Argentina,Noncommunicable diseases,"21,592",21591.51953
"Age-standardized DALYs (per 100,000)",2000,Americas,Argentina,Injuries,"3,540",3539.50293
"Age-standardized DALYs (per 100,000)",2012,Americas,Argentina,All Causes,"26,808",26808.17969
